age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
16 - 18 years old,Female,Western Europe,Seaside,Rent a house,Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train,,8
18 - 25 years old,Female,North America,Seaside;Cities,Hotel or motel;Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Train;Airplane,750 $,10
More than 25 years old,Female,Australia,Seaside;Mountains;Lake or river;Countryside;big city living,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane,1500AUD,10
14 - 16 years old,Male,Western Europe,Seaside;Mountains,Rent a house;Family or friend's house,Friends,Going to the beach;Visiting museums and cultural sites;Working;Staying at home,I have friends there;I have a house there,Car;Train,-€,8
14 - 16 years old,Male,Western Europe,Mountains,Family or friend's house,Friends,Going to the beach,I have a house there,Car;Airplane,30€,6
18 - 25 years old,Female,Western Europe,Seaside,Hotel or motel;Rent a house,Family;Friends,Going to the beach;Trekking or walking;Visiting museums and cultural sites,I want to visit a certain place,Train;Airplane,,7
More than 25 years old,Female,Western Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel,Family,"Going to the beach;Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,2000£,9
14 - 16 years old,Female,Western Europe,Seaside;Mountains,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Train;Airplane,,9
18 - 25 years old,Male,Western Europe,Seaside;Cities,Hotel or motel,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Airplane,,7
18 - 25 years old,Male,North America,Seaside;Mountains;Lake or river,Hotel or motel;Tent or hut,Family;Boyfriend/girlfriend,Trekking or walking;Camping,I want to visit a certain place,Car,1000$,8
More than 25 years old,Male,Canada,Seaside;Countryside,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Train;Airplane;Bus or taxi,7000 CAD,10
