age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
16 - 18 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside;City,Hotel or motel;Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Cruise",I want to visit a certain place,Car;Train;Airplane,3200 €,10
18 - 25 years old,Female,North America,Mountains;Lake or river,Rent a house;Family or friend's house,Friends;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping","I have friends there;I always go there on vacation, it's a tradition",Car;Airplane,100,7
18 - 25 years old,Male,Northern Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend;Alone,"Trekking or walking;Travelling, visiting cities and places of interest;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Bus or taxi,18000kr? Not sure,10
18 - 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Camper;Tent or hut,Family,"Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car,800 euro,7
More than 25 years old,Female,Western Europe,Seaside;Mountains;Lake or river;Countryside;City,Hotel or motel;Rent a house,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,450 €,10
16 - 18 years old,Male,Canada,City,Hotel or motel,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,,9
More than 25 years old,Male,Western Europe,Seaside,Rent a house,Family,Going to the beach;Trekking or walking;Working;Staying at home,I want to visit a certain place,Car,650,7
More than 25 years old,Male,North America,Seaside,Hotel or motel,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,$3500,9
More than 25 years old,Male,North America,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family;Alone,Going to the beach;Cruise;Attending concerts or live events (e.g. football match),"I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,$500,7
14 - 16 years old,Fluid Xenic demi-boy (simplest terms. Put Genderfluid if that works better),North America,Seaside,Hotel or motel,Family,"Going to the beach;Travelling, visiting cities and places of interest;Cruise","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,$1500 i think- my parents were in charge of budging,8
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;City,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I have friends there;My relatives live there;I want to visit a certain place,Car;Train;Airplane;Bus or taxi,1000 $,8
More than 25 years old,Female,Western Europe,Seaside,Hotel or motel,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,1000 euros,9
18 - 25 years old,Male,North America,Seaside,Resort,Family,Going to the beach;Trekking or walking,"I always go there on vacation, it's a tradition",Car,,9
More than 25 years old,Male,North America,Countryside,Hotel or motel;Family or friend's house,Family,"Going to the beach;Travelling, visiting cities and places of interest",My relatives live there;I want to visit a certain place,Car;Train;Airplane,$3000,9
18 - 25 years old,Male,North America,Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Tent or hut,Family,Trekking or walking;Visiting museums and cultural sites;Camping,I want to visit a certain place,Car;Airplane,3000 $,10
More than 25 years old,Female,North America,Seaside;Another city ,Hotel or motel;Rent a house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,1200$,8
18 - 25 years old,Male,Western Europe,Seaside,Hotel or motel;Camper,Family;Friends,Going to the beach;Trekking or walking;Visiting museums and cultural sites;Camping,I have friends there;I want to visit a certain place,Car;Train;Airplane,500 €,7
More than 25 years old,Male,North America,Seaside,Family or friend's house,Family;Friends;Boyfriend/girlfriend,Going to the beach;Staying at home;Cruise,I have friends there;I want to visit a certain place,Car;Airplane,1500$,7
More than 25 years old,Female,Northern europe,Seaside;Countryside,Tent or hut,Boyfriend/girlfriend,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car,100 £,9
18 - 25 years old,Female,North America,Seaside;Urban,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home",I have friends there;My relatives live there;I want to visit a certain place,Car;Train;Airplane,500 $,9
18 - 25 years old,Male,Western Europe,Seaside;Countryside,Rent a house;Family or friend's house,Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place,Train;Airplane,700 €,8
More than 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,1750 CHF,8
16 - 18 years old,Female,North America,Seaside;Mountains;urban area/city,Hotel or motel;air bnb,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,250 USD$,10
More than 25 years old,Male,North America,Seaside;Lake or river,Hotel or motel;Condo,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,$500,10
18 - 25 years old,Female,North America,Seaside;Mountains;Forest,Rent a house;Tent or hut,Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping",I have friends there;I want to visit a certain place;It is cheap,Car;Train;Airplane;Bus or taxi,900 $,7
14 - 16 years old,Non binary ,North America,Seaside,Family or friend's house,Family,Going to the beach;Trekking or walking;Visiting museums and cultural sites;Staying at home,"My relatives live there;I always go there on vacation, it's a tradition",Car,500 $,7
More than 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Airplane;Bus or taxi,700 $,8
18 - 25 years old,Female,North America,Seaside;Countryside,Hotel or motel;Family or friend's house,Boyfriend/girlfriend;Alone,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,not much but i travel dirty,7
More than 25 years old,Female,Western Europe,Seaside;Countryside;New cities ,Hotel or motel,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place,Train;Airplane,,10
More than 25 years old,Male,Western Europe,Seaside,Hotel or motel,Alone,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Reading in cafes","I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition",Train;Airplane,5000 RMB,8
18 - 25 years old,Female,Western Europe,Seaside;Countryside,Hotel or motel;Rent a house;Cottage ,Family,Going to the beach;Trekking or walking;Staying at home,I want to visit a certain place;It's nearby ,Car;Airplane,I don't know ,9
18 - 25 years old,Male,North America,Seaside;Countryside,Hotel or motel;Rent a house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,"1,000 $",8
More than 25 years old,Female,North America,Seaside;City,Hotel or motel;Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,3500 $,8
More than 25 years old,Male,South America,Seaside,Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,1000 PEN,8
18 - 25 years old,Female,North America,Seaside;cities,Hotel or motel,Family;Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane;Bus or taxi,1000 $,8
18 - 25 years old,Male,Canada,Seaside;Lake or river;Cities (which tend to have rivers but the river isn't the point),Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",My relatives live there;I want to visit a certain place,Train;Airplane;Bus or taxi,,6
More than 25 years old,Female,North America,Seaside;Mountains,Hotel or motel,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise",I want to visit a certain place,Car,2000$,8
18 - 25 years old,Female,North America,Seaside;Countryside,Hotel or motel;Rent a house,Friends;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Airplane,~2000 $,10
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;Countryside;Cities,Hotel or motel;Rent a house;Family or friend's house;Camper;Tent or hut,Family;Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,2000 $,8
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,"Rental house, it wouldn't let me select the option above",Family;Friends;Boyfriend/girlfriend,"Going to the beach;Travelling, visiting cities and places of interest;Cruise;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,"$5,000",8
More than 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Tent or hut,Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Train;Airplane,1000,8
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;City,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,1500 $,9
18 - 25 years old,Female,North America,Seaside;Lake or river,Hotel or motel;Rent a house;Family or friend's house,Family,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home;Good food/restaurants","I always go there on vacation, it's a tradition;Warm weather/beach",Car;Airplane,,7
More than 25 years old,Non-binary,Australia,Seaside,Hotel or motel;Rent a house;Tent or hut,Boyfriend/girlfriend;Alone,Going to the beach;Trekking or walking;Extreme sports;Camping,I choose places with tropical climate,Airplane,$1000 AUD including flights,7
More than 25 years old,Male,Western Europe,Seaside;Mountains;City. Another culture ,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,3000 £,10
More than 25 years old,Male,North America,Mountains,Rent a house,Friends,"Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,3000 $,10
More than 25 years old,Male,Western Europe,"i don't really do holidays; i've been unabole to work for a long time and while i could afford to travel, my anxiety usually prevents me from doing more than the occasional day trip",,Family,,"sometims i visit my sister for a few days who lives in a different city, but i don#t really view it as a vacation",Train,,0
More than 25 years old,Female,North America,Cities/suburbs,Hotel or motel;Rent a house,Family,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,1250 $,10
More than 25 years old,Female,North America,Countryside,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Family;Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Airplane,1000-1500 USD,10
More than 25 years old,Female,Western Europe,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I always go there on vacation, it's a tradition",Airplane,3000,7
More than 25 years old,Female,Western Europe,Seaside;Mountains;Abroad visiting cities,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Train;Airplane;Bus or taxi,400€,10
18 - 25 years old,nonbinary,Canada,Mountains,Family or friend's house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)","My relatives live there;I always go there on vacation, it's a tradition",Car;Airplane;Bus or taxi;Ferry,500 CAD,9
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Camper,Family;Friends,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car,,8
More than 25 years old,Male,North America,Lake or river;Countryside,Rent a house,Family;Friends;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane;Bus or taxi,$2000,6
18 - 25 years old,Male,North America,Seaside,Hotel or motel;Rent a house,Family;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,0 $,10
More than 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,1000$,10
18 - 25 years old,Male,North America,Seaside,Rent a house;Condo,Family,"Going to the beach;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,8
More than 25 years old,Female,North America,Seaside;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house;Camper;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Cruise;Camping;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car,$400,9
More than 25 years old,Female,North America,Seaside;Lake or river,Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,$4000Cdn,9
More than 25 years old,Non binary,North America,Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Friends;Boyfriend/girlfriend;Alone,Going to the beach;Trekking or walking;Working;Staying at home;Camping,My relatives live there;I want to visit a certain place,Car;Airplane,0$,7
18 - 25 years old,Female,North America,Seaside,Rent a house,Family;Boyfriend/girlfriend,Going to the beach;Trekking or walking;Visiting museums and cultural sites,"I want to visit a certain place;I always go there on vacation, it's a tradition",Car,400 $,10
More than 25 years old,Female,North America,Seaside;Mountains;Countryside,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place,Train;Airplane,400$,9
18 - 25 years old,Female,Canada,Seaside;Mountains;Lake or river;Desert or national park,Hotel or motel;Tent or hut,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Visiting national parks and natural landmarks","My relatives live there;I want to visit a certain place;It seems interesting, I've never been before, it has been a long time since I last visited",Car;Airplane;Bus or taxi,4000 $ (CAD),7
More than 25 years old,Male,North America,Lake or river,Hotel or motel;Family or friend's house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,1000 $,8
More than 25 years old,Male,South America,Mountains;Lake or river,Tent or hut,Friends,Trekking or walking;Camping;Cycle touring ,I want to visit a certain place,Bycicle,200 usd,10
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river;Cities,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Alone,"Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,600 $,7
More than 25 years old,Female,North America,Seaside,Rent a house,Family,"Going to the beach;Extreme sports;Working;Travelling, visiting cities and places of interest;Staying at home;Camping","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,7
18 - 25 years old,Male,North America,Seaside;Mountains;Lake or river,Hotel or motel;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane;Bus or taxi,~3000 CAD including hotels and plane tickets,6
18 - 25 years old,Male,Australia,Mountains;Lake or river;Countryside,Hotel or motel;Camper,Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car,,7
More than 25 years old,Female,North America,Countryside,Hotel or motel,Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane;Bus or taxi,"$ 5,500 US ",10
More than 25 years old,Male,North America,Seaside;Mountains;Countryside,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Trying new cuisine ",I have friends there;I want to visit a certain place,Car;Airplane,25000$,9
18 - 25 years old,Male,Western Europe,Seaside;Countryside,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,Going to the beach;Visiting museums and cultural sites;Staying at home;Attending concerts or live events (e.g. football match),I want to visit a certain place,Car;Train;Airplane,,7
18 - 25 years old,Male,North America,Mountains,Hotel or motel,Family,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car,"2,000 USD",7
18 - 25 years old,Female,North America,Mountains,Hotel or motel;Family or friend's house,Family;Boyfriend/girlfriend;Alone,"Trekking or walking;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,2000$,7
18 - 25 years old,non-binary ,Western Europe,Seaside;Countryside,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise",I want to visit a certain place,Car;Train;Airplane,,7
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,Working;Staying at home,My relatives live there;Driving distance ,Car,$200ish,7
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house;Camper;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane;Bus or taxi,2000,10
More than 25 years old,Female,North America,Mountains,Hotel or motel;Family or friend's house,Family,"Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,8
More than 25 years old,Male,North America,Seaside;Mountains;Cities,Hotel or motel;Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane;Uber,3000 $,10
18 - 25 years old,Male,South America,Seaside;Countryside,Hotel or motel;Family or friend's house,Family,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",My relatives live there;I want to visit a certain place;I have a house there,Car;Airplane;Bus or taxi,4000 R$,9
More than 25 years old,Female,North America,Mountains,Hotel or motel;Tent or hut,Family;Boyfriend/girlfriend,Trekking or walking;Extreme sports;Camping,I want to visit a certain place,Car;Airplane,2000 $,9
More than 25 years old,Female,North America,Seaside,Hotel or motel;Rent a house;Family or friend's house,Alone,Going to the beach;Visiting museums and cultural sites;Attending concerts or live events (e.g. football match),I want to visit a certain place,Airplane,$2500,10
More than 25 years old,Male,Western Europe,Seaside;Mountains;Countryside,Hotel or motel;Rent a house;Family or friend's house,Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I have friends there;I want to visit a certain place,Car;Train;Airplane,500,6
18 - 25 years old,Male,Eastern Europe,"Seaside in the past (childhood), N/A now",Rent a house,Family;Alone,N/A (only been on vacation in my childhood),Wherever my parents took me,Train,0 (my parents paid for everything),0
18 - 25 years old,Male,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Family or friend's house;Camper;Tent or hut,Family;Alone,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,3000 $,5
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside;City,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train;Airplane,500 $,10
18 - 25 years old,Female,Asia,Seaside;Home  ,Hotel or motel;Family or friend's house,Family,Staying at home,My relatives live there;I want to visit a certain place,Airplane,700 $,4
18 - 25 years old,Male,North America,Lake or river,Hotel or motel;Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Kayaking/canoeing ",I want to visit a certain place,Car,Idk I didn’t spend it,7
18 - 25 years old,Female,Central America ,Seaside;Mountains;Lake or river;Home/the city,Hotel or motel,Family;Friends,Going to the beach;Staying at home,I want to visit a certain place,Car,200 $,10
16 - 18 years old,Male,North America,Mountains;Countryside;Home,Hotel or motel;Family or friend's house,Family,Trekking or walking;Visiting museums and cultural sites;Staying at home,My relatives live there,Car;Airplane,26 USD,10
18 - 25 years old,Male,North America,Lake or river;Countryside,Hotel or motel;Family or friend's house;Tent or hut,Family,Going to the beach;Staying at home;Camping,I want to visit a certain place,Car;Airplane,,7
18 - 25 years old,Female,North America,Seaside;Mountains,Hotel or motel;Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane;Bus or taxi,600 $,10
16 - 18 years old,Male,Eastern Europe,Seaside,Hotel or motel,Family,"Going to the beach;Travelling, visiting cities and places of interest","I always go there on vacation, it's a tradition",Car,,7
18 - 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car,250$,9
More than 25 years old,Male,Western Europe,Seaside;Countryside;City,Hotel or motel;Rent a house;Camper;Tent or hut,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping",I usually am not the one choosing.,Car;Train,1500 DKK,10
14 - 16 years old,Female,North America,Seaside;Mountains;Cities,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place;family takes me there,Car;Airplane,5000 USD,9
16 - 18 years old,Female,Eastern Europe,Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Alone,Trekking or walking;Working;Staying at home;Attending concerts or live events (e.g. football match),"I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,,10
16 - 18 years old,Female,Western Europe,Seaside;Mountains,Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I always go there on vacation, it's a tradition;I have a house there",Car;Train,,10
16 - 18 years old,Male,North America,Seaside,Hotel or motel;Rent a house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home;Cruise",I want to visit a certain place,Car;Bus or taxi,,8
18 - 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Camper;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Train;Airplane;Bus or taxi,£400,9
More than 25 years old,Female,North America,Seaside,Hotel or motel;Rent a house,Family,Going to the beach;Visiting museums and cultural sites,"I always go there on vacation, it's a tradition",Car,I forget,10
More than 25 years old,Female,Western Europe,Seaside,Family or friend's house,Family,Going to the beach;Working;Staying at home,My relatives live there,Airplane,Maybe 500 HRK,6
18 - 25 years old,Female,Northern Europe ,Seaside;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train;Airplane;Bus or taxi,~450€,9
18 - 25 years old,Female,Western Europe,Seaside;Mountains,Rent a house;Family or friend's house;Camper,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",My relatives live there;I want to visit a certain place,Airplane;Bus or taxi,1000 £,8
18 - 25 years old,Female,Eastern Europe,Seaside;Mountains,Family or friend's house;Tent or hut,Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Train;Bus or taxi,275 € ,8
More than 25 years old,Male,Eastern Europe,Mountains,Hotel or motel,Friends;Alone,Trekking or walking;Visiting museums and cultural sites;Staying at home,I want to visit a certain place,Car;Train,500 €,8
18 - 25 years old,Female,North America,Seaside;Mountains,Hotel or motel;Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Working;Travelling, visiting cities and places of interest;Staying at home",I have friends there;I want to visit a certain place,Car;Airplane,not sure,10
18 - 25 years old,Female,Western Europe,Seaside,Hotel or motel,Family,Going to the beach;Archery,My parents choose and prioritise short flights,Car;Airplane;Bus or taxi,€250,7
